"groupName","category","policyDisplayName","allowedEffects","defaultEffect","policyId"
"NIST_SP_800-53_R5_AC-6","General,Regulatory Compliance,Regulatory Compliance,Security Center","Audit usage of custom RBAC roles,Design an access control model,Employ least privilege access,A maximum of 3 owners should be designated for your subscription","overr:Audit|Disabled,overr:Manual|Disabled,overr:Manual|Disabled,overr:AuditIfNotExists|Disabled","Audit,Manual,Manual,AuditIfNotExists","a451c1ef-c6ca-483d-87ed-f49761e3ffb5,03b6427e-6072-4226-4bd9-a410ab65317e,1bc7fd64-291f-028e-4ed6-6e07886e163f,4f11b553-d42e-4e3a-89be-32ca364cad4c"
"NIST_SP_800-53_R5_AC-6(1)","Regulatory Compliance,Regulatory Compliance,Regulatory Compliance","Authorize access to security functions and information,Authorize and manage access,Enforce mandatory and discretionary access control policies","overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled","Manual,Manual,Manual","aeed863a-0f56-429f-945d-8bb66bd06841,50e9324a-7410-0539-0662-2c1e775538b7,b1666a13-8f67-9c47-155e-69e027ff6823"
"NIST_SP_800-53_R5_AC-6(5)","Regulatory Compliance","Restrict access to privileged accounts","overr:Manual|Disabled","Manual","873895e8-0e3a-6492-42e9-22cd030e9fcd"
"NIST_SP_800-53_R5_AC-6(7)","General,Regulatory Compliance,Regulatory Compliance,Security Center","Audit usage of custom RBAC roles,Reassign or remove user privileges as needed,Review user privileges,A maximum of 3 owners should be designated for your subscription","overr:Audit|Disabled,overr:Manual|Disabled,overr:Manual|Disabled,overr:AuditIfNotExists|Disabled","Audit,Manual,Manual,AuditIfNotExists","a451c1ef-c6ca-483d-87ed-f49761e3ffb5,7805a343-275c-41be-9d62-7215b96212d8,f96d2186-79df-262d-3f76-f371e3b71798,4f11b553-d42e-4e3a-89be-32ca364cad4c"
"NIST_SP_800-53_R5_AC-6(8)","Regulatory Compliance","Enforce software execution privileges","overr:Manual|Disabled","Manual","68d2e478-3b19-23eb-1357-31b296547457"
"NIST_SP_800-53_R5_AC-6(9)","Regulatory Compliance,Regulatory Compliance,Regulatory Compliance,Regulatory Compliance,Regulatory Compliance,Regulatory Compliance","Audit privileged functions,Conduct a full text analysis of logged privileged commands,Monitor privileged role assignment,Restrict access to privileged accounts,Revoke privileged roles as appropriate,Use privileged identity management","overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled","Manual,Manual,Manual,Manual,Manual,Manual","f26af0b1-65b6-689a-a03f-352ad2d00f98,8eea8c14-4d93-63a3-0c82-000343ee5204,ed87d27a-9abf-7c71-714c-61d881889da4,873895e8-0e3a-6492-42e9-22cd030e9fcd,32f22cfa-770b-057c-965b-450898425519,e714b481-8fac-64a2-14a9-6f079b2501a4"
"NIST_SP_800-53_R5_AC-7","Regulatory Compliance","Enforce a limit of consecutive failed login attempts","overr:Manual|Disabled","Manual","b4409bff-2287-8407-05fd-c73175a68302"
"NIST_SP_800-53_R5_AT-1","Regulatory Compliance,Regulatory Compliance","Document security and privacy training activities,Update information security policies","overr:Manual|Disabled,overr:Manual|Disabled","Manual,Manual","524e7136-9f6a-75ba-9089-501018151346,5226dee6-3420-711b-4709-8e675ebd828f"
"NIST_SP_800-53_R5_AT-2","Regulatory Compliance,Regulatory Compliance,Regulatory Compliance","Provide periodic security awareness training,Provide security training for new users,Provide updated security awareness training","overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled","Manual,Manual,Manual","516be556-1353-080d-2c2f-f46f000d5785,1cb7bf71-841c-4741-438a-67c65fdd7194,d136ae80-54dd-321c-98b4-17acf4af2169"
"NIST_SP_800-53_R5_AT-2(2)","Regulatory Compliance","Provide security awareness training for insider threats","overr:Manual|Disabled","Manual","9b8b05ec-3d21-215e-5d98-0f7cf0998202"
"NIST_SP_800-53_R5_AT-3","Regulatory Compliance,Regulatory Compliance,Regulatory Compliance","Provide periodic role-based security training,Provide role-based security training,Provide security training before providing access","overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled","Manual,Manual,Manual","9ac8621d-9acd-55bf-9f99-ee4212cc3d85,4c385143-09fd-3a34-790c-a5fd9ec77ddc,2b05dca2-25ec-9335-495c-29155f785082"
"NIST_SP_800-53_R5_AT-3(3)","Regulatory Compliance","Provide role-based practical exercises","overr:Manual|Disabled","Manual","d041726f-00e0-41ca-368c-b1a122066482"
"NIST_SP_800-53_R5_AT-4","Regulatory Compliance,Regulatory Compliance,Regulatory Compliance","Document security and privacy training activities,Monitor security and privacy training completion,Retain training records","overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled","Manual,Manual,Manual","524e7136-9f6a-75ba-9089-501018151346,82bd024a-5c99-05d6-96ff-01f539676a1a,3153d9c0-2584-14d3-362d-578b01358aeb"
"NIST_SP_800-53_R5_AU-1","Regulatory Compliance,Regulatory Compliance,Regulatory Compliance,Regulatory Compliance","Develop audit and accountability policies and procedures,Develop information security policies and procedures,Govern policies and procedures,Update information security policies","overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled","Manual,Manual,Manual,Manual","a28323fe-276d-3787-32d2-cef6395764c4,af227964-5b8b-22a2-9364-06d2cb9d6d7c,1a2a03a4-9992-5788-5953-d8f6615306de,5226dee6-3420-711b-4709-8e675ebd828f"
"NIST_SP_800-53_R5_AU-10","Regulatory Compliance","Establish electronic signature and certificate requirements","overr:Manual|Disabled","Manual","6f3866e8-6e12-69cf-788c-809d426094a1"
"NIST_SP_800-53_R5_AU-11","Regulatory Compliance,Regulatory Compliance,Regulatory Compliance,SQL","Adhere to retention periods defined,Retain security policies and procedures,Retain terminated user data,SQL servers with auditing to storage account destination should be configured with 90 days retention or higher","overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled,overr:AuditIfNotExists|Disabled","Manual,Manual,Manual,AuditIfNotExists","1ecb79d7-1a06-9a3b-3be8-f434d04d1ec1,efef28d0-3226-966a-a1e8-70e89c1b30bc,7c7032fe-9ce6-9092-5890-87a1a3755db1,89099bee-89e0-4b26-a5f4-165451757743"
"NIST_SP_800-53_R5_AU-12","App Service,Batch,Data Lake,Data Lake,Event Hub,Internet of Things,Key Vault,Kubernetes,Logic Apps,Monitoring,Monitoring,Monitoring,Monitoring,Network,Regulatory Compliance,Regulatory Compliance,Regulatory Compliance,Regulatory Compliance,Search,Security Center,Security Center,Security Center,Security Center,Security Center,Security Center,Security Center,Security Center,Security Center,Security Center,Security Center,Security Center,Security Center,Service Bus,SQL,SQL,SQL,Stream Analytics","App Service apps should have resource logs enabled,Resource logs in Batch accounts should be enabled,Resource logs in Azure Data Lake Store should be enabled,Resource logs in Data Lake Analytics should be enabled,Resource logs in Event Hub should be enabled,Resource logs in IoT Hub should be enabled,Resource logs in Key Vault should be enabled,[Preview]: Azure Arc enabled Kubernetes clusters should have Microsoft Defender for Cloud extension installed,Resource logs in Logic Apps should be enabled,[Preview]: Log Analytics extension should be installed on your Linux Azure Arc machines,[Preview]: Log Analytics extension should be installed on your Windows Azure Arc machines,[Preview]: Network traffic data collection agent should be installed on Linux virtual machines,[Preview]: Network traffic data collection agent should be installed on Windows virtual machines,Network Watcher should be enabled,Audit privileged functions,Audit user account status,Determine auditable events,Review audit data,Resource logs in Search services should be enabled,Auto provisioning of the Log Analytics agent should be enabled on your subscription,Azure Defender for App Service should be enabled,Azure Defender for Azure SQL Database servers should be enabled,Azure Defender for Key Vault should be enabled,Azure Defender for Resource Manager should be enabled,Azure Defender for servers should be enabled,Azure Defender for SQL servers on machines should be enabled,Guest Configuration extension should be installed on your machines,Log Analytics agent should be installed on your virtual machine for Azure Security Center monitoring,Log Analytics agent should be installed on your virtual machine scale sets for Azure Security Center monitoring,Microsoft Defender for Containers should be enabled,Microsoft Defender for Storage should be enabled,Virtual machines' Guest Configuration extension should be deployed with system-assigned managed identity,Resource logs in Service Bus should be enabled,Auditing on SQL server should be enabled,Azure Defender for SQL should be enabled for unprotected Azure SQL servers,Azure Defender for SQL should be enabled for unprotected SQL Managed Instances,Resource logs in Azure Stream Analytics should be enabled","overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled","AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,Manual,Manual,Manual,Manual,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists","91a78b24-f231-4a8a-8da9-02c35b2b6510,428256e6-1fac-4f48-a757-df34c2b3336d,057ef27e-665e-4328-8ea3-04b3122bd9fb,c95c74d9-38fe-4f0d-af86-0c7d626a315c,83a214f7-d01a-484b-91a9-ed54470c9a6a,383856f8-de7f-44a2-81fc-e5135b5c2aa4,cf820ca0-f99e-4f3e-84fb-66e913812d21,8dfab9c4-fe7b-49ad-85e4-1e9be085358f,34f95f76-5386-4de7-b824-0d8478470c9d,842c54e8-c2f9-4d79-ae8d-38d8b8019373,d69b1763-b96d-40b8-a2d9-ca31e9fd0d3e,04c4380f-3fae-46e8-96c9-30193528f602,2f2ee1de-44aa-4762-b6bd-0893fc3f306d,b6e2945c-0b7b-40f5-9233-7a5323b5cdc6,f26af0b1-65b6-689a-a03f-352ad2d00f98,49c23d9b-02b0-0e42-4f94-e8cef1b8381b,2f67e567-03db-9d1f-67dc-b6ffb91312f4,6625638f-3ba1-7404-5983-0ea33d719d34,b4330a05-a843-4bc8-bf9a-cacce50c67f4,475aae12-b88a-4572-8b36-9b712b2b3a17,2913021d-f2fd-4f3d-b958-22354e2bdbcb,7fe3b40f-802b-4cdd-8bd4-fd799c948cc2,0e6763cc-5078-4e64-889d-ff4d9a839047,c3d20c29-b36d-48fe-808b-99a87530ad99,4da35fc9-c9e7-4960-aec9-797fe7d9051d,6581d072-105e-4418-827f-bd446d56421b,ae89ebca-1c92-4898-ac2c-9f63decb045c,a4fe33eb-e377-4efb-ab31-0784311bc499,a3a6ea0c-e018-4933-9ef0-5aaa1501449b,1c988dd6-ade4-430f-a608-2a3e5b0a6d38,640d2586-54d2-465f-877f-9ffc1d2109f4,d26f7642-7545-4e18-9b75-8c9bbdee3a9a,f8d36e2f-389b-4ee4-898d-21aeb69a0f45,a6fb4358-5bf4-4ad7-ba82-2cd2f41ce5e9,abfb4388-5bf4-4ad7-ba82-2cd2f41ceae9,abfb7388-5bf4-4ad7-ba99-2cd2f41cebb9,f9be5368-9bf5-4b84-9e0a-7850da98bb46"
"NIST_SP_800-53_R5_AU-12(1)","App Service,Batch,Data Lake,Data Lake,Event Hub,Internet of Things,Key Vault,Kubernetes,Logic Apps,Monitoring,Monitoring,Monitoring,Monitoring,Network,Regulatory Compliance,Search,Security Center,Security Center,Security Center,Security Center,Security Center,Security Center,Security Center,Security Center,Security Center,Security Center,Security Center,Security Center,Security Center,Service Bus,SQL,SQL,SQL,Stream Analytics","App Service apps should have resource logs enabled,Resource logs in Batch accounts should be enabled,Resource logs in Azure Data Lake Store should be enabled,Resource logs in Data Lake Analytics should be enabled,Resource logs in Event Hub should be enabled,Resource logs in IoT Hub should be enabled,Resource logs in Key Vault should be enabled,[Preview]: Azure Arc enabled Kubernetes clusters should have Microsoft Defender for Cloud extension installed,Resource logs in Logic Apps should be enabled,[Preview]: Log Analytics extension should be installed on your Linux Azure Arc machines,[Preview]: Log Analytics extension should be installed on your Windows Azure Arc machines,[Preview]: Network traffic data collection agent should be installed on Linux virtual machines,[Preview]: Network traffic data collection agent should be installed on Windows virtual machines,Network Watcher should be enabled,Compile Audit records into system wide audit,Resource logs in Search services should be enabled,Auto provisioning of the Log Analytics agent should be enabled on your subscription,Azure Defender for App Service should be enabled,Azure Defender for Azure SQL Database servers should be enabled,Azure Defender for Key Vault should be enabled,Azure Defender for Resource Manager should be enabled,Azure Defender for servers should be enabled,Azure Defender for SQL servers on machines should be enabled,Guest Configuration extension should be installed on your machines,Log Analytics agent should be installed on your virtual machine for Azure Security Center monitoring,Log Analytics agent should be installed on your virtual machine scale sets for Azure Security Center monitoring,Microsoft Defender for Containers should be enabled,Microsoft Defender for Storage should be enabled,Virtual machines' Guest Configuration extension should be deployed with system-assigned managed identity,Resource logs in Service Bus should be enabled,Auditing on SQL server should be enabled,Azure Defender for SQL should be enabled for unprotected Azure SQL servers,Azure Defender for SQL should be enabled for unprotected SQL Managed Instances,Resource logs in Azure Stream Analytics should be enabled","overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:Manual|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled","AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,Manual,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists","91a78b24-f231-4a8a-8da9-02c35b2b6510,428256e6-1fac-4f48-a757-df34c2b3336d,057ef27e-665e-4328-8ea3-04b3122bd9fb,c95c74d9-38fe-4f0d-af86-0c7d626a315c,83a214f7-d01a-484b-91a9-ed54470c9a6a,383856f8-de7f-44a2-81fc-e5135b5c2aa4,cf820ca0-f99e-4f3e-84fb-66e913812d21,8dfab9c4-fe7b-49ad-85e4-1e9be085358f,34f95f76-5386-4de7-b824-0d8478470c9d,842c54e8-c2f9-4d79-ae8d-38d8b8019373,d69b1763-b96d-40b8-a2d9-ca31e9fd0d3e,04c4380f-3fae-46e8-96c9-30193528f602,2f2ee1de-44aa-4762-b6bd-0893fc3f306d,b6e2945c-0b7b-40f5-9233-7a5323b5cdc6,214ea241-010d-8926-44cc-b90a96d52adc,b4330a05-a843-4bc8-bf9a-cacce50c67f4,475aae12-b88a-4572-8b36-9b712b2b3a17,2913021d-f2fd-4f3d-b958-22354e2bdbcb,7fe3b40f-802b-4cdd-8bd4-fd799c948cc2,0e6763cc-5078-4e64-889d-ff4d9a839047,c3d20c29-b36d-48fe-808b-99a87530ad99,4da35fc9-c9e7-4960-aec9-797fe7d9051d,6581d072-105e-4418-827f-bd446d56421b,ae89ebca-1c92-4898-ac2c-9f63decb045c,a4fe33eb-e377-4efb-ab31-0784311bc499,a3a6ea0c-e018-4933-9ef0-5aaa1501449b,1c988dd6-ade4-430f-a608-2a3e5b0a6d38,640d2586-54d2-465f-877f-9ffc1d2109f4,d26f7642-7545-4e18-9b75-8c9bbdee3a9a,f8d36e2f-389b-4ee4-898d-21aeb69a0f45,a6fb4358-5bf4-4ad7-ba82-2cd2f41ce5e9,abfb4388-5bf4-4ad7-ba82-2cd2f41ceae9,abfb7388-5bf4-4ad7-ba99-2cd2f41cebb9,f9be5368-9bf5-4b84-9e0a-7850da98bb46"
"NIST_SP_800-53_R5_AU-12(3)","Regulatory Compliance","Provide the capability to extend or limit auditing on customer-deployed resources","overr:Manual|Disabled","Manual","d200f199-69f4-95a6-90b0-37ff0cf1040c"
"NIST_SP_800-53_R5_AU-2","Regulatory Compliance","Determine auditable events","overr:Manual|Disabled","Manual","2f67e567-03db-9d1f-67dc-b6ffb91312f4"
"NIST_SP_800-53_R5_AU-3","Regulatory Compliance","Determine auditable events","overr:Manual|Disabled","Manual","2f67e567-03db-9d1f-67dc-b6ffb91312f4"
"NIST_SP_800-53_R5_AU-3(1)","Regulatory Compliance","Configure Azure Audit capabilities","overr:Manual|Disabled","Manual","a3e98638-51d4-4e28-910a-60e98c1a756f"
"NIST_SP_800-53_R5_AU-4","Regulatory Compliance","Govern and monitor audit processing activities","overr:Manual|Disabled","Manual","333b4ada-4a02-0648-3d4d-d812974f1bb2"
"NIST_SP_800-53_R5_AU-5","Regulatory Compliance","Govern and monitor audit processing activities","overr:Manual|Disabled","Manual","333b4ada-4a02-0648-3d4d-d812974f1bb2"
"NIST_SP_800-53_R5_AU-5(2)","Regulatory Compliance","Provide real-time alerts for audit event failures","overr:Manual|Disabled","Manual","0f4fa857-079d-9d3d-5c49-21f616189e03"
"NIST_SP_800-53_R5_AU-6","Kubernetes,Monitoring,Monitoring,Network,Regulatory Compliance,Regulatory Compliance,Regulatory Compliance,Regulatory Compliance,Regulatory Compliance,Regulatory Compliance,Regulatory Compliance,Regulatory Compliance,Regulatory Compliance,Regulatory Compliance,Regulatory Compliance,Security Center,Security Center,Security Center,Security Center,Security Center,Security Center,Security Center,Security Center,SQL,SQL","[Preview]: Azure Arc enabled Kubernetes clusters should have Microsoft Defender for Cloud extension installed,[Preview]: Network traffic data collection agent should be installed on Linux virtual machines,[Preview]: Network traffic data collection agent should be installed on Windows virtual machines,Network Watcher should be enabled,Correlate audit records,Establish requirements for audit review and reporting,Integrate audit review, analysis, and reporting,Integrate cloud app security with a siem,Review account provisioning logs,Review administrator assignments weekly,Review audit data,Review cloud identity report overview,Review controlled folder access events,Review file and folder activity,Review role group changes weekly,Azure Defender for App Service should be enabled,Azure Defender for Azure SQL Database servers should be enabled,Azure Defender for Key Vault should be enabled,Azure Defender for Resource Manager should be enabled,Azure Defender for servers should be enabled,Azure Defender for SQL servers on machines should be enabled,Microsoft Defender for Containers should be enabled,Microsoft Defender for Storage should be enabled,Azure Defender for SQL should be enabled for unprotected Azure SQL servers,Azure Defender for SQL should be enabled for unprotected SQL Managed Instances","overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled","AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists","8dfab9c4-fe7b-49ad-85e4-1e9be085358f,04c4380f-3fae-46e8-96c9-30193528f602,2f2ee1de-44aa-4762-b6bd-0893fc3f306d,b6e2945c-0b7b-40f5-9233-7a5323b5cdc6,10874318-0bf7-a41f-8463-03e395482080,b3c8cc83-20d3-3890-8bc8-5568777670f4,f741c4e6-41eb-15a4-25a2-61ac7ca232f0,9fdde4a9-85fa-7850-6df4-ae9c4a2e56f9,a830fe9e-08c9-a4fb-420c-6f6bf1702395,f27a298f-9443-014a-0d40-fef12adf0259,6625638f-3ba1-7404-5983-0ea33d719d34,8aec4343-9153-9641-172c-defb201f56b3,f48b60c6-4b37-332f-7288-b6ea50d300eb,ef718fe4-7ceb-9ddf-3198-0ee8f6fe9cba,70fe686f-1f91-7dab-11bf-bca4201e183b,2913021d-f2fd-4f3d-b958-22354e2bdbcb,7fe3b40f-802b-4cdd-8bd4-fd799c948cc2,0e6763cc-5078-4e64-889d-ff4d9a839047,c3d20c29-b36d-48fe-808b-99a87530ad99,4da35fc9-c9e7-4960-aec9-797fe7d9051d,6581d072-105e-4418-827f-bd446d56421b,1c988dd6-ade4-430f-a608-2a3e5b0a6d38,640d2586-54d2-465f-877f-9ffc1d2109f4,abfb4388-5bf4-4ad7-ba82-2cd2f41ceae9,abfb7388-5bf4-4ad7-ba99-2cd2f41cebb9"
"NIST_SP_800-53_R5_AU-6(1)","Regulatory Compliance,Regulatory Compliance,Regulatory Compliance,Regulatory Compliance,Regulatory Compliance,Regulatory Compliance,Regulatory Compliance,Regulatory Compliance,Regulatory Compliance,Regulatory Compliance,Regulatory Compliance","Correlate audit records,Establish requirements for audit review and reporting,Integrate audit review, analysis, and reporting,Integrate cloud app security with a siem,Review account provisioning logs,Review administrator assignments weekly,Review audit data,Review cloud identity report overview,Review controlled folder access events,Review file and folder activity,Review role group changes weekly","overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled","Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual","10874318-0bf7-a41f-8463-03e395482080,b3c8cc83-20d3-3890-8bc8-5568777670f4,f741c4e6-41eb-15a4-25a2-61ac7ca232f0,9fdde4a9-85fa-7850-6df4-ae9c4a2e56f9,a830fe9e-08c9-a4fb-420c-6f6bf1702395,f27a298f-9443-014a-0d40-fef12adf0259,6625638f-3ba1-7404-5983-0ea33d719d34,8aec4343-9153-9641-172c-defb201f56b3,f48b60c6-4b37-332f-7288-b6ea50d300eb,ef718fe4-7ceb-9ddf-3198-0ee8f6fe9cba,70fe686f-1f91-7dab-11bf-bca4201e183b"
"NIST_SP_800-53_R5_AU-6(3)","Regulatory Compliance,Regulatory Compliance","Correlate audit records,Integrate cloud app security with a siem","overr:Manual|Disabled,overr:Manual|Disabled","Manual,Manual","10874318-0bf7-a41f-8463-03e395482080,9fdde4a9-85fa-7850-6df4-ae9c4a2e56f9"
